,name,War,Film-Noir,Sci-Fi,History,Music,Musical,Fantasy,Thriller,Romance,Horror,Mystery,Family,Animation,Comedy,Drama,Biography,Adventure,Action,Crime,Western,Sport,Films,Produced
1861,Michael Biehn,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,123560248
1862,Vladas Bagdonas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1863,Liubomiras Laucevicius,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1864,Olga Mironova,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1865,Aleksey Kravchenko,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1866,Adam Baldwin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46357676
1867,Vincent D'Onofrio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46357676
1868,R. Lee Ermey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46357676
1869,Matthew Modine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46357676
1870,Chris Penn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2832029
1871,Michael Madsen,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,2,4,0,0,4,181049019
1872,Tim Roth,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,2,3091156
1873,Harvey Keitel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,2,9832029
1874,Angus Macfadyen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,75600000
1875,Patrick McGoohan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,2,118600000
